codigo_ibge;uf;nome_municipio;codigo_servico;incidencia;aliquota;dt_ini;dt_fim
2800308;SE;Aracaju;12.04.01.000;12.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.05.01.000;12.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.06.01.000;12.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.07.01.000;12.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.08.01.000;12.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.09.01.000;12.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.09.02.000;12.09.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.09.03.000;12.09.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.10.01.000;12.10.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.11.01.000;12.11.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.12.01.000;12.12.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.13.01.000;12.13.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.14.01.000;12.14.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.15.01.000;12.15.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.16.01.000;12.16.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;12.17.01.000;12.17.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;13.02.01.000;13.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;13.03.01.000;13.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;13.04.01.000;13.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.01.01.000;14.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.02.01.000;14.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.03.01.000;14.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.04.01.000;14.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.05.01.000;14.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.06.01.000;14.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.07.01.000;14.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.08.01.000;14.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.09.01.000;14.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.10.01.000;14.10.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.11.01.000;14.11.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.12.01.000;14.12.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.13.01.000;14.13.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.13.02.000;14.13.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.14.01.000;14.14.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;14.14.02.000;14.14.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.01.01.000;15.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.01.02.000;15.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.01.03.000;15.01.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.01.04.000;15.01.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.01.05.000;15.01.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.01.000;15.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.02.000;15.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.03.000;15.02.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.04.000;15.02.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.05.000;15.02.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.06.000;15.02.06.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.07.000;15.02.07.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.02.08.000;15.02.08.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.01.000;15.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.02.000;15.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.03.000;15.03.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.04.000;15.03.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.05.000;15.03.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.06.000;15.03.06.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.07.000;15.03.07.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.03.08.000;15.03.08.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.04.01.000;15.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.05.01.000;15.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.05.02.000;15.05.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.05.03.000;15.05.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.05.04.000;15.05.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.05.05.000;15.05.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.01.000;15.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.02.000;15.06.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.03.000;15.06.03.000;5;2023-10-20T00:00:00;
